Id,Name
1,Lilly Wachowski
2,Lana Wachowski
3,Tony Scott
4,Robert Zemeckis
5,Steve McQueen
6,Terrence Malick
7,Matthew Vaughn
8,Christopher Nolan
9,James Cameron
10,Rob Reiner
11,Ron Howard
12,Steven Spielberg
13,Martin Scorsese
14,Alfred Hitchcock
15,Woody Allen
16,Quentin Tarantino
